Company,Symbol,MarketCap,StockPrice,PE_Ratio,EPS
 Walgreens Boots Alliance ,WBA,30.56,35.27,7.07,0.85
 Verisk Analytics ,VRSK,30.5,187.84,35.24,3.11
 Zimmer Biomet ,ZBH,30.4,144.30,18.57,0.18
 Hershey ,HSY,30.24,144.34,22.55,5.11
 PACCAR ,PCAR,29.69,85.77,17.98,4.74
 Allstate ,ALL,29.62,94.84,8.17,13.35
 Cadence Design ,CDNS,29.34,105.23,38.41,3.64
 Kinder Morgan ,KMI,29.22,12.91,13.88,0.07
 V.F. Corp ,VFC,29.14,74.79,29.1,0.87
 AutoZone ,AZO,29.04,1242.95,17.76,64.01
 Trane Technologies ,TT,29.01,121.22,0,0
 MSCI ,MSCI,28.94,346.00,42.09,6.14
 Travelers Companies ,TRV,28.92,112.15,10.85,7.06
 Eversource Energy ,ES,28.77,83.97,21.64,3.48
 T. Rowe Price ,TROW,28.77,126.74,13.37,8.43
 Yum! Brands ,YUM,28.67,93.52,23.98,3.34
 Paychex ,PAYX,28.41,78.91,26.3,3.04
 ANSYS ,ANSS,28.16,328.21,47.5,4.59
 KLA-Tencor ,KLAC,28.1,180.76,14.73,7.7
 Ford ,F,28.01,7.04,9.92,-0.54
 Best Buy ,BBY,27.94,107.96,15.31,6.18
 Ball Corp ,BLL,27.57,84.43,26.63,1.09
 TransDigm ,TDG,27.5,507.30,43.14,12.12
 Prudential Financial ,PRU,27,68.36,5.89,-0.43
 Parker-Hannifin ,PH,26.99,209.93,16.19,9.29
 Hormel Foods ,HRL,26.88,49.81,27.52,1.7
 McCormick ,MKC,26.69,200.35,35.59,5.56
 Motorola ,MSI,26.62,156.80,18.19,4.81
 Willis Towers Watson ,WLTW,26.58,206.25,16.86,7.83
 HP ,HPQ,26.45,19.26,8.16,1.77
 Clorox ,CLX,26.45,209.59,26.5,7.36
 Align Technology ,ALGN,26.41,335.24,48.73,21.47
 Archer-Daniels-Midland ,ADM,26.38,47.47,14,3.14
 Microchip ,MCHP,26.16,103.62,15.54,2.51
 AFLAC ,AFL,26.16,36.69,8.17,4
 Public Serv. ,PEG,26.12,51.65,15.28,3.42
 Otis Worldwide ,OTIS,26.12,60.30,0,0
 D R Horton ,DHI,26.1,71.77,10.89,5.52
 Rockwell Automation ,ROK,26.07,224.77,28.27,6.58
 Fortive ,FTV,26.02,77.20,20.98,1.48
 American Water Works ,AWK,26.02,143.59,34.03,3.52
 Stanley Black and Decker ,SWK,26,162.84,18.59,5.24
 Carrier Global ,CARR,25.72,29.69,0,0
 Fastenal ,FAST,25.63,44.68,28.64,1.45
 LyondellBasell ,LYB,25.56,76.55,10.32,6.05
 Hilton Worldwide ,HLT,25.51,91.94,38.31,0.18
 ResMed ,RMD,25.44,175.55,33.19,4.27
 Kroger ,KR,25.36,32.72,12.21,2.59
 Phillips 66 ,PSX,25.35,58.05,11.29,-2.7
 Welltower ,WELL,25.33,60.71,65.28,3.16
 Alexion Pharma ,ALXN,25.33,115.58,9.62,3.81
 Williams Cos ,WMB,25.33,20.87,18.31,0.11
 Schlumberger ,SLB,25.26,18.20,28.44,-15.77
 Xilinx ,XLNX,25.12,102.83,30.51,2.56
 Copart ,CPRT,25.12,105.08,32.33,2.93
 Corning ,GLW,25,32.82,18.34,0.14
 American International ,AIG,24.92,28.93,6.71,-5.29
 Consolidated Edison ,ED,24.91,74.47,16.51,3.99
 McKesson ,MCK,24.47,150.87,8.84,5.25
 Southwest Airlines ,LUV,23.96,40.61,25.07,0.31
 Freeport-McMoRan ,FCX,23.83,16.41,12.43,-0.44
 Tyson Foods ,TSN,23.77,65.25,11.12,4.97
 Skyworks ,SWKS,23.54,140.91,20.39,4.55
 Mettler Toledo ,MTD,23.51,980.90,37.41,22.31
 Ametek ,AME,23.5,102.32,24.48,3.86
 Verisign ,VRSN,23.47,204.33,34.93,6.74
 Aptiv PLC ,APTV,23.23,86.01,23.96,6.53
 Old Dominion Freight Line ,ODFL,23.17,197.46,31.54,4.94
 Lennar ,LEN,23.11,75.90,10.24,6.64
 DTE Energy ,DTE,22.84,118.56,16.68,6.33
 Church and Dwight ,CHD,22.83,92.33,30.88,2.86
 Realty Income ,O,22.71,65.81,45.08,1.46
 Corteva ,CTVA,22.59,29.45,16.54,-1.28
 Kellogg ,K,22.51,65.63,16.57,3.16
 EOG Resources ,EOG,22.47,38.59,19.99,0.61
 Cerner ,CERN,22.33,71.70,22.2,1.66
 State Street ,STT,22.27,63.20,9.97,6.24
 Simon Property ,SPG,21.74,71.07,13.06,5.69
 AvalonBay Communities ,AVB,21.47,152.57,38.72,5.6
 Weyerhaeuser ,WY,21.46,28.76,33.84,0.41
 Delta Air Lines ,DAL,21.38,33.51,20.81,-5.71
 PPL ,PPL,21.31,27.72,11.27,2.3
 Equity Residential ,EQR,21.07,56.33,42.67,3.01
 Nasdaq ,NDAQ,21.05,128.16,21.69,4.78
 Dollar Tree ,DLTR,21.04,88.65,15.31,3.73
 Alexandria Real Estate Equities ,ARE,20.74,163.65,58.24,3.34
 Arthur J. Gallagher ,AJG,20.24,102.98,22.88,3.77
 Marathon Petroleum ,MPC,20.23,31.09,54.54,-11.83
 Incyte ,INCY,20,91.43,24.06,-0.89
 Entergy ,ETR,19.82,96.54,16.23,6.13
 FleetCor ,FLT,19.53,232.32,18.09,8.63
 AmerisourceBergen ,ABC,19.51,94.90,11.24,7.53
 Edison International ,EIX,19.48,51.51,11.3,3.09
 Equifax ,EFX,19.46,160.23,25.8,2.45
 Ameren ,AEE,19.15,77.50,20.61,3.42
 Fortinet ,FTNT,19.13,118.20,34.26,2.39
 Garmin ,GRMN,19.12,99.98,21.83,4.88
 WW Grainger ,GWW,19,354.65,19.89,11.43
 Valero Energy ,VLO,18.99,46.56,16.45,2.6
 Ameriprise Financial ,AMP,18.91,153.85,8.53,19.25
 Akamai ,AKAM,18.68,108.86,19.86,3.3
 First Republic Bank ,FRC,18.6,108.07,19.54,5.3
 Take-Two Interactive Software ,TTWO,18.36,160.59,28.94,3.9
 Laboratory of America ,LH,18.11,185.92,11.9,3.71
 Keysight ,KEYS,18.01,96.21,17.88,3.18
 Rollins ,ROL,17.96,54.78,64.45,0.65
 Cooper Companies ,COO,17.93,336.06,26.59,5.6
 Maxim Integrated Products ,MXIM,17.91,67.09,24.76,2.41
 Kansas City Southern ,KSU,17.68,187.40,22.91,5.85
 Citrix ,CTXS,17.65,135.92,21.92,5.94
 MarketAxess ,MKTX,17.62,464.06,58.52,6.9
 Amcor PLC ,AMCR,17.51,11.21,16.49,0.31
 CMS Energy ,CMS,17.5,61.11,21.44,2.64
 Vulcan Materials ,VMC,17.4,131.40,26.44,4.7
 Twenty-First Century Fox ,FOXA,17.31,28.61,12.83,1.62
