year,month,day,hr0,hr1,hr2,hr3,hr4,hr5,hr6,hr7,hr8,hr9,hr10,hr11,hr12,hr13,hr14,hr15,hr16,hr17,hr18,hr19,hr20,hr21,hr22,hr23
2018,3,17,14,12,13,12,13,12,13,10,18,31,34,37,42,43,43,43,44,43,38,28,25,22,20,19
2018,3,18,14,14,13,13,13,13,12,14,21,32,40,40,40,39,38,37,36,35,31,21,20,16,15,15
2018,3,19,16,15,15,15,16,18,16,20,24,32,41,44,42,42,43,41,40,36,34,31,25,24,19,18
2018,3,20,18,20,34,32,29,25,22,17,19,17,24,25,28,23,26,31,35,35,32,35,26,16,12,13
2018,3,21,15,18,15,16,16,16,15,15,17,22,27,30,31,31,30,33,30,27,24,24,25,26,22,19
2018,3,22,16,15,18,17,12,12,9,16,34,33,37,41,42,41,42,42,43,44,44,41,35,28,27,25
2018,3,23,23,20,19,16,14,16,17,19,33,41,42,43,44,44,44,44,44,43,39,29,26,22,18,17
2018,3,24,16,15,14,15,17,16,15,15,20,30,36,44,45,45,44,44,44,45,44,39,29,26,22,20
2018,3,25,18,15,13,13,10,11,12,12,19,33,39,42,42,42,43,44,44,43,43,42,40,38,30,22
2018,3,26,20,20,17,16,16,14,12,14,25,33,38,40,41,40,40,40,40,40,35,28,25,22,19,19
2018,3,27,19,19,19,18,18,15,17,20,24,34,41,42,43,44,45,46,42,35,32,26,23,21,21,22
2018,3,28,22,23,23,22,22,22,20,23,26,38,43,44,44,45,45,44,45,39,40,28,27,26,25,26
2018,3,29,26,25,25,24,23,22,21,23,25,35,40,41,43,44,45,46,48,46,36,34,32,31,31,31
2018,3,30,30,31,30,30,30,30,30,31,34,43,49,54,55,57,58,56,47,43,39,28,33,32,34,33
2018,3,31,32,32,32,32,31,30,30,29,31,42,49,45,40,36,41,35,32,31,33,29,20,20,22,21
2018,4,1,27,27,16,14,12,14,22,27,32,36,39,39,38,39,40,45,44,42,43,42,33,28,23,21
2018,4,2,21,19,18,17,16,16,14,15,18,35,34,35,36,36,35,35,37,39,37,30,24,19,17,20
2018,4,3,21,21,21,23,22,26,28,32,35,41,38,42,39,39,40,41,43,40,40,39,25,22,19,18
2018,4,4,14,17,10,14,18,16,10,13,23,31,45,45,41,46,47,49,43,43,39,36,33,29,26,25
2018,4,5,22,25,26,25,24,21,25,17,29,39,47,49,55,55,49,35,34,34,33,29,24,19,16,14
2018,4,6,10,9,9,9,6,7,8,7,9,15,16,22,24,22,19,16,13,12,11,11,8,6,6,4
2018,4,7,3,6,4,2,1,10,27,29,29,34,33,39,40,39,38,38,38,40,39,37,31,22,17,14
2018,4,8,11,9,7,7,8,10,9,14,27,37,39,41,40,42,44,44,46,45,39,29,24,20,17,16
2018,4,9,17,17,18,17,19,20,22,23,26,31,37,42,44,46,47,43,43,42,39,36,28,27,27,25
2018,4,10,19,16,14,13,12,12,12,16,20,33,40,47,46,37,36,35,35,35,35,36,37,26,31,23
2018,4,11,27,27,25,19,13,12,12,13,32,39,41,46,46,46,48,48,48,48,48,47,51,49,45,38
2018,4,12,41,39,35,30,21,18,12,26,38,51,52,52,52,52,52,51,50,49,46,44,40,33,25,26
2018,4,13,21,17,16,14,14,14,13,18,30,40,44,44,45,46,47,49,50,48,39,33,24,24,22,21
2018,4,14,23,22,22,21,20,21,21,22,29,38,43,39,45,48,46,44,41,41,40,36,25,23,21,22
2018,4,15,23,20,20,16,11,12,13,22,32,41,41,41,40,40,57,57,42,40,42,44,43,39,30,23
2018,4,16,19,16,15,15,13,11,13,22,37,43,42,44,47,48,47,45,45,46,44,42,33,25,19,14
2018,4,17,16,17,11,14,13,10,12,21,37,39,40,44,43,42,41,40,40,42,38,29,25,20,17,18
2018,4,18,16,17,15,15,13,8,8,11,20,27,36,42,44,44,45,43,43,43,39,33,27,24,23,20
2018,4,19,20,18,18,17,17,15,16,19,34,38,40,40,40,40,41,41,42,41,42,39,33,26,22,20
2018,4,20,18,19,20,20,13,17,19,19,24,29,40,43,40,38,40,42,40,38,38,37,33,25,20,13
2018,4,21,8,12,17,10,8,6,10,18,30,40,46,36,40,45,47,45,40,41,41,38,30,27,27,27
2018,4,22,27,28,21,13,24,25,24,22,25,28,33,38,47,40,36,38,43,42,40,29,26,27,29,31
2018,4,23,32,33,30,33,22,14,20,28,33,29,35,39,39,38,39,38,41,39,39,37,38,35,31,28
2018,4,24,23,16,10,10,15,7,6,15,21,24,31,37,38,39,39,40,39,40,41,39,32,25,19,16
2018,4,25,16,22,21,19,22,23,19,17,22,29,33,38,39,40,40,43,43,41,41,42,41,38,36,36
2018,4,26,37,35,34,33,31,31,26,26,26,33,41,43,43,44,44,44,44,42,42,42,40,40,34,32
2018,4,27,30,29,27,24,21,20,20,29,42,45,46,45,45,46,46,46,47,46,45,43,42,38,32,26
2018,4,28,25,22,19,16,17,16,18,25,40,45,44,48,47,47,51,50,50,51,50,45,38,37,31,30
2018,4,29,25,21,22,29,29,25,22,27,39,41,44,45,45,46,44,43,42,41,41,40,41,41,41,40
2018,4,30,40,40,41,39,35,36,37,38,40,43,43,43,46,48,48,50,49,49,48,48,48,47,47,48
2018,5,1,47,43,39,38,34,33,34,35,38,41,40,41,40,42,40,41,41,41,42,38,35,39,42,43
2018,5,2,42,38,37,34,33,33,31,35,40,37,39,41,40,40,40,40,40,40,38,33,25,19,18,19
2018,5,3,23,30,31,26,25,23,21,23,24,32,37,38,38,38,39,39,38,36,35,36,35,30,27,22
2018,5,4,17,14,12,18,21,22,21,22,27,35,34,32,38,40,42,44,44,40,38,36,34,28,24,25
2018,5,5,28,28,29,29,23,18,23,26,29,31,33,36,37,38,38,40,40,41,41,37,30,23,19,19
2018,5,6,17,19,19,16,16,25,30,30,31,32,36,38,37,38,37,35,33,32,31,31,31,28,23,20
2018,5,7,16,12,12,11,13,13,18,22,27,34,38,41,38,39,41,42,42,38,34,31,26,25,22,21
2018,5,8,17,14,13,13,8,13,16,21,25,27,30,31,33,35,33,30,27,25,24,22,18,15,13,9
2018,5,9,6,5,4,6,3,1,5,16,18,25,32,35,38,38,40,44,42,40,40,38,33,32,27,26
2018,5,10,25,23,18,19,21,23,26,32,34,35,37,39,40,40,41,41,41,42,42,42,40,38,38,39
2018,5,11,40,39,39,36,33,32,29,27,29,32,36,39,40,40,42,39,41,43,39,33,29,28,29,30
2018,5,12,29,28,24,21,22,12,18,28,31,34,37,41,43,45,46,46,45,43,42,40,38,34,26,23
2018,5,13,23,31,28,28,27,29,30,30,34,36,36,38,39,40,42,42,40,40,40,39,36,33,26,23
2018,5,14,20,17,23,27,25,23,23,31,34,32,34,37,37,37,38,39,39,39,40,39,34,30,31,31
2018,5,15,32,34,31,28,29,27,28,32,34,35,37,38,38,38,37,37,36,36,37,36,31,26,25,23
2018,5,16,22,20,19,17,16,17,20,25,35,37,37,38,40,41,38,40,38,37,35,33,27,25,21,20
2018,5,17,18,17,16,16,15,14,15,21,31,33,34,33,32,32,32,30,32,32,31,31,31,30,29,28
2018,5,18,29,28,26,28,29,25,23,26,28,28,28,28,28,29,28,30,31,31,30,30,28,27,24,28
2018,5,19,29,30,30,29,28,29,31,28,26,31,34,35,36,36,37,37,37,38,39,38,38,38,37,38
2018,5,20,38,39,39,38,37,35,37,37,37,37,37,37,37,37,37,38,39,37,35,34,32,31,31,32
2018,5,21,29,30,30,28,24,21,19,22,32,34,34,34,33,33,33,33,33,33,33,33,31,32,34,32
2018,5,22,29,27,25,21,18,17,22,24,29,29,30,31,32,32,32,33,35,34,34,35,33,31,29,30
2018,5,23,30,29,22,15,16,16,22,29,29,29,32,32,33,34,34,35,37,36,36,36,36,35,35,33
2018,5,24,32,33,30,27,29,32,33,32,29,27,30,33,34,34,35,37,37,37,37,37,37,36,33,31
2018,5,25,29,26,21,18,13,7,11,21,29,31,33,33,32,32,-9,33,33,32,32,29,21,18,13,10
2018,5,26,10,8,8,6,8,26,30,30,30,31,31,31,31,32,32,33,32,31,30,29,28,25,21,22
2018,5,27,21,18,15,11,7,5,7,13,20,21,25,28,30,32,32,35,38,32,30,28,24,19,20,19
2018,5,28,19,18,20,19,19,19,21,25,31,27,29,33,35,34,34,35,34,32,30,29,24,26,27,28
2018,5,29,27,26,25,19,20,18,18,17,20,27,30,30,30,31,30,32,31,31,33,33,33,30,22,14
2018,5,30,12,12,22,26,27,25,32,34,34,34,33,33,35,35,35,35,35,36,36,35,35,35,35,36
2018,5,31,37,36,35,35,34,35,33,33,34,34,35,35,35,35,35,35,34,34,33,33,34,34,34,34
2018,6,1,29,25,21,19,17,17,20,21,30,34,37,38,40,41,38,41,44,45,38,32,29,31,31,32
2018,6,2,33,33,33,33,34,36,39,41,50,52,53,52,44,40,40,39,31,29,28,23,22,21,26,35
2018,6,3,36,23,14,13,21,7,13,19,27,31,31,31,31,28,29,28,26,25,25,24,23,20,15,10
2018,6,4,6,5,3,1,5,2,5,15,26,32,34,34,36,36,39,40,38,37,33,30,27,24,20,19
2018,6,5,17,13,15,15,15,14,18,25,35,36,36,36,36,37,35,34,33,33,33,33,33,32,31,31
2018,6,6,32,33,30,28,22,18,20,30,32,33,33,34,34,33,-9,32,33,33,33,33,33,29,26,26
2018,6,7,25,24,23,21,19,17,19,30,37,39,40,40,42,42,41,42,43,43,43,41,36,31,27,25
2018,6,8,24,23,17,16,20,21,25,29,34,36,36,-9,32,32,39,32,28,29,25,21,17,13,12,12
